xi,ti,hi,ui,zi
5000,0,3.2198448,1.5494009,95.0
5000,60,3.2201815,1.5492078,95.0
5000,120,3.220518,1.5490137,95.0
5000,180,3.220852,1.5488191,95.0
5000,240,3.2211847,1.5486242,95.0
5000,300,3.2215152,1.5484285,95.0
5000,360,3.2218447,1.5482327,95.0
5000,420,3.2221718,1.5480361,95.0
5000,480,3.2224984,1.5478394,95.0
5000,540,3.2228222,1.547642,95.0
5000,600,3.223145,1.547444,95.0
5000,660,3.223466,1.5472461,95.0
5000,720,3.2237859,1.5470475,95.0
5000,780,3.2241044,1.5468488,95.0
5000,840,3.2244215,1.5466498,95.0
5000,900,3.2247367,1.5464505,95.0
5000,960,3.225051,1.5462508,95.0
5000,1020,3.2253642,1.5460509,95.0
5000,1080,3.225676,1.545851,95.0
5000,1140,3.2259855,1.5456507,95.0
5000,1200,3.2262955,1.54545,95.0
5000,1260,3.226603,1.5452495,95.0
5000,1320,3.22691,1.5450487,95.0
5000,1380,3.2272153,1.5448478,95.0
5000,1440,3.22752,1.5446466,95.0
5000,1500,3.2278233,1.5444461,95.0
5000,1560,3.228125,1.5442448,95.0
5000,1620,3.228426,1.5440437,95.0
5000,1680,3.2287269,1.5438423,95.0
5000,1740,3.229025,1.5436413,95.0
5000,1800,3.2293243,1.5434401,95.0
5000,1860,3.2296205,1.5432391,95.0
5000,1920,3.229917,1.5430377,95.0
5000,1980,3.2302122,1.5428368,95.0
5000,2040,3.230507,1.5426353,95.0
5000,2100,3.2308002,1.5424345,95.0
5000,2160,3.231093,1.5422338,95.0
5000,2220,3.2313843,1.542033,95.0
5000,2280,3.2316756,1.5418322,95.0
5000,2340,3.2319655,1.5416317,95.0
5000,2400,3.232255,1.5414313,95.0
5000,2460,3.232544,1.541231,95.0
5000,2520,3.2328315,1.541031,95.0
5000,2580,3.2331185,1.5408311,95.0
5000,2640,3.2334046,1.5406317,95.0
5000,2700,3.2336903,1.5404319,95.0
5000,2760,3.233975,1.5402324,95.0
5000,2820,3.2342596,1.5400335,95.0
5000,2880,3.2345433,1.5398347,95.0
5000,2940,3.2348266,1.5396363,95.0
5000,3000,3.2351089,1.5394378,95.0
5000,3060,3.2353911,1.5392395,95.0
5000,3120,3.235672,1.5390416,95.0
5000,3180,3.2359524,1.5388443,95.0
5000,3240,3.2362323,1.538647,95.0
5000,3300,3.2365117,1.53845,95.0
5000,3360,3.2367907,1.5382532,95.0
5000,3420,3.2370687,1.5380567,95.0
5000,3480,3.2373466,1.5378608,95.0
5000,3540,3.2376242,1.5376648,95.0
5000,3600,3.2379007,1.5374694,95.0
5000,3660,3.2381768,1.5372742,95.0
5000,3720,3.2384534,1.5370796,95.0
5000,3780,3.2387295,1.5368853,95.0
5000,3840,3.2390037,1.5366912,95.0
5000,3900,3.2392788,1.5364974,95.0
5000,3960,3.239553,1.5363041,95.0
5000,4020,3.2398257,1.5361111,95.0
5000,4080,3.2400994,1.5359185,95.0
5000,4140,3.2403731,1.5357264,95.0
5000,4200,3.2406454,1.5355349,95.0
5000,4260,3.2409177,1.535343,95.0
