xi,ti,hi,ui,zi
10000,0,3.2199607,1.5533147,90.0
10000,60,3.2200112,1.5532486,90.0
10000,120,3.2200618,1.5531831,90.0
10000,180,3.220111,1.553118,90.0
10000,240,3.220159,1.5530543,90.0
10000,300,3.2202063,1.5529906,90.0
10000,360,3.2202525,1.552928,90.0
10000,420,3.2202978,1.5528655,90.0
10000,480,3.2203422,1.5528044,90.0
10000,540,3.220386,1.5527431,90.0
10000,600,3.220428,1.5526832,90.0
10000,660,3.2204695,1.552624,90.0
10000,720,3.2205095,1.5525655,90.0
10000,780,3.220549,1.5525074,90.0
10000,840,3.2205882,1.5524502,90.0
10000,900,3.2206259,1.552394,90.0
10000,960,3.220663,1.552338,90.0
10000,1020,3.2206993,1.5522829,90.0
10000,1080,3.2207346,1.5522288,90.0
10000,1140,3.220769,1.5521752,90.0
10000,1200,3.2208037,1.5521219,90.0
10000,1260,3.2208357,1.5520699,90.0
10000,1320,3.2208672,1.5520184,90.0
10000,1380,3.2208996,1.5519675,90.0
10000,1440,3.22093,1.5519174,90.0
10000,1500,3.2209597,1.5518678,90.0
10000,1560,3.2209883,1.5518193,90.0
10000,1620,3.2210174,1.5517713,90.0
10000,1680,3.221044,1.5517241,90.0
10000,1740,3.2210717,1.5516776,90.0
10000,1800,3.221097,1.5516317,90.0
10000,1860,3.2211232,1.5515866,90.0
10000,1920,3.2211475,1.5515419,90.0
10000,1980,3.2211719,1.5514979,90.0
10000,2040,3.2211947,1.5514553,90.0
10000,2100,3.221218,1.5514125,90.0
10000,2160,3.22124,1.551371,90.0
10000,2220,3.2212615,1.5513301,90.0
10000,2280,3.221282,1.5512898,90.0
10000,2340,3.2213025,1.5512501,90.0
10000,2400,3.2213225,1.5512116,90.0
10000,2460,3.2213407,1.551173,90.0
10000,2520,3.2213593,1.5511355,90.0
10000,2580,3.2213774,1.551099,90.0
10000,2640,3.2213945,1.5510625,90.0
10000,2700,3.2214108,1.551027,90.0
10000,2760,3.221427,1.5509924,90.0
10000,2820,3.2214427,1.550958,90.0
10000,2880,3.2214575,1.5509248,90.0
10000,2940,3.2214723,1.5508919,90.0
10000,3000,3.2214866,1.5508597,90.0
10000,3060,3.2214994,1.5508283,90.0
10000,3120,3.2215118,1.5507973,90.0
10000,3180,3.2215247,1.5507673,90.0
10000,3240,3.2215366,1.5507379,90.0
10000,3300,3.221548,1.5507092,90.0
10000,3360,3.221559,1.5506806,90.0
10000,3420,3.2215695,1.5506535,90.0
10000,3480,3.221579,1.5506262,90.0
10000,3540,3.2215886,1.5505997,90.0
10000,3600,3.2215977,1.5505744,90.0
10000,3660,3.2216067,1.5505494,90.0
10000,3720,3.2216153,1.5505248,90.0
10000,3780,3.2216225,1.5505013,90.0
10000,3840,3.2216296,1.5504781,90.0
10000,3900,3.2216372,1.5504556,90.0
10000,3960,3.2216425,1.5504338,90.0
10000,4020,3.2216492,1.5504125,90.0
10000,4080,3.221655,1.5503918,90.0
10000,4140,3.2216601,1.5503715,90.0
10000,4200,3.221665,1.5503521,90.0
10000,4260,3.2216697,1.5503334,90.0
10000,4320,3.2216735,1.550315,90.0
10000,4380,3.2216773,1.550297,90.0
10000,4440,3.221681,1.5502801,90.0
10000,4500,3.221684,1.5502635,90.0
10000,4560,3.2216868,1.5502478,90.0
10000,4620,3.2216892,1.5502323,90.0
10000,4680,3.2216911,1.5502174,90.0
10000,4740,3.2216926,1.5502032,90.0
10000,4800,3.2216945,1.5501895,90.0
10000,4860,3.2216954,1.5501763,90.0
10000,4920,3.221696,1.5501637,90.0
10000,4980,3.2216964,1.5501518,90.0
10000,5040,3.221696,1.5501401,90.0
10000,5100,3.2216954,1.5501293,90.0
10000,5160,3.221696,1.5501188,90.0
10000,5220,3.2216945,1.5501089,90.0
10000,5280,3.221694,1.5500997,90.0
10000,5340,3.2216916,1.5500907,90.0
10000,5400,3.2216907,1.5500826,90.0
10000,5460,3.2216887,1.5500747,90.0
10000,5520,3.221686,1.5500674,90.0
10000,5580,3.2216835,1.5500605,90.0
10000,5640,3.2216806,1.5500543,90.0
10000,5700,3.2216778,1.5500485,90.0
10000,5760,3.221675,1.5500429,90.0
10000,5820,3.221671,1.5500386,90.0
10000,5880,3.2216673,1.5500339,90.0
10000,5940,3.221663,1.5500302,90.0
10000,6000,3.2216587,1.5500268,90.0
10000,6060,3.221655,1.550024,90.0
10000,6120,3.2216496,1.5500214,90.0
10000,6180,3.2216454,1.5500193,90.0
10000,6240,3.22164,1.550018,90.0
10000,6300,3.2216349,1.5500168,90.0
10000,6360,3.2216296,1.5500162,90.0
10000,6420,3.221623,1.550016,90.0
10000,6480,3.2216172,1.550016,90.0
10000,6540,3.221612,1.5500169,90.0
10000,6600,3.2216053,1.5500182,90.0
10000,6660,3.221599,1.5500195,90.0
