xi,ti,hi,ui,zi
2500,0,3.2203674,1.5503864,97.5
2500,60,3.2209277,1.5501906,97.5
2500,120,3.2214847,1.5499923,97.5
2500,180,3.2220383,1.5497915,97.5
2500,240,3.2225885,1.5495887,97.5
2500,300,3.2231364,1.5493832,97.5
2500,360,3.223681,1.5491757,97.5
2500,420,3.2242227,1.5489658,97.5
2500,480,3.224762,1.548754,97.5
2500,540,3.2252975,1.5485404,97.5
2500,600,3.2258315,1.5483245,97.5
2500,660,3.2263622,1.5481068,97.5
2500,720,3.22689,1.5478867,97.5
2500,780,3.227416,1.5476657,97.5
2500,840,3.2279391,1.5474421,97.5
2500,900,3.2284603,1.5472171,97.5
2500,960,3.228979,1.5469902,97.5
2500,1020,3.2294955,1.546762,97.5
2500,1080,3.2300096,1.5465318,97.5
2500,1140,3.2305207,1.5463002,97.5
2500,1200,3.231031,1.5460672,97.5
2500,1260,3.2315383,1.5458326,97.5
2500,1320,3.2320433,1.5455964,97.5
2500,1380,3.2325473,1.545359,97.5
2500,1440,3.2330494,1.5451201,97.5
2500,1500,3.2335486,1.5448804,97.5
2500,1560,3.2340474,1.544639,97.5
2500,1620,3.2345433,1.5443963,97.5
2500,1680,3.2350378,1.5441525,97.5
2500,1740,3.2355304,1.5439073,97.5
2500,1800,3.2360215,1.5436614,97.5
2500,1860,3.2365108,1.5434145,97.5
2500,1920,3.236999,1.5431663,97.5
2500,1980,3.2374854,1.5429165,97.5
2500,2040,3.2379704,1.5426667,97.5
2500,2100,3.2384534,1.5424155,97.5
2500,2160,3.2389355,1.5421633,97.5
2500,2220,3.2394161,1.5419105,97.5
2500,2280,3.2398958,1.5416565,97.5
2500,2340,3.2403736,1.5414019,97.5
2500,2400,3.2408504,1.5411466,97.5
2500,2460,3.2413263,1.5408902,97.5
2500,2520,3.2418003,1.5406332,97.5
2500,2580,3.2422733,1.540376,97.5
2500,2640,3.242745,1.5401174,97.5
2500,2700,3.243216,1.5398586,97.5
2500,2760,3.2436862,1.539599,97.5
2500,2820,3.2441545,1.5393385,97.5
2500,2880,3.2446227,1.5390781,97.5
2500,2940,3.2450895,1.5388168,97.5
2500,3000,3.245555,1.538555,97.5
2500,3060,3.2460203,1.5382926,97.5
